POSTCODE,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2224,1GSYD,Greater Sydney,1,Good,Good,0
2225,1GSYD,Greater Sydney,1,Good,Good,0
2226,1GSYD,Greater Sydney,1,Good,Good,0
2227,1GSYD,Greater Sydney,1,Good,Good,0
2228,1GSYD,Greater Sydney,1,Good,Good,0
2229,1GSYD,Greater Sydney,1,Good,Good,0
2230,1GSYD,Greater Sydney,1,Good,Good,0
2231,1GSYD,Greater Sydney,1,Good,Good,0
2232,1GSYD,Greater Sydney,1,Good,Good,0
2233,1GSYD,Greater Sydney,1,Good,Good,0
2234,1GSYD,Greater Sydney,1,Good,Good,0
2250,1GSYD,Greater Sydney,0.9976655,Good,Good,0
2250,1RNSW,Rest of NSW,0.0023345,Good,Good,1
2251,1GSYD,Greater Sydney,1,Good,Good,0
2256,1GSYD,Greater Sydney,1,Good,Good,0
2257,1GSYD,Greater Sydney,1,Good,Good,0
2258,1GSYD,Greater Sydney,1,Good,Good,0
2259,1GSYD,Greater Sydney,0.9384374,Good,Good,0
2259,1RNSW,Rest of NSW,0.0615626,Good,Good,0
2260,1GSYD,Greater Sydney,1,Good,Good,0
2261,1GSYD,Greater Sydney,1,Good,Good,0
2262,1GSYD,Greater Sydney,1,Good,Good,0
2263,1GSYD,Greater Sydney,1,Good,Good,0
2264,1RNSW,Rest of NSW,1,Good,Good,0
2265,1RNSW,Rest of NSW,1,Good,Good,0
2267,1RNSW,Rest of NSW,1,Good,Good,0
2278,1RNSW,Rest of NSW,1,Good,Good,0
2280,1RNSW,Rest of NSW,1,Good,Good,0
2281,1RNSW,Rest of NSW,1,Good,Good,0
2282,1RNSW,Rest of NSW,1,Good,Good,0
2283,1RNSW,Rest of NSW,1,Good,Good,0
2284,1RNSW,Rest of NSW,1,Good,Good,0
2285,1RNSW,Rest of NSW,1,Good,Good,0
2286,1RNSW,Rest of NSW,1,Good,Good,0
2287,1RNSW,Rest of NSW,1,Good,Good,0
2289,1RNSW,Rest of NSW,1,Good,Good,0
2290,1RNSW,Rest of NSW,1,Good,Good,0
2291,1RNSW,Rest of NSW,1,Good,Good,0
2292,1RNSW,Rest of NSW,1,Good,Good,0
2293,1RNSW,Rest of NSW,1,Good,Good,0
2294,1RNSW,Rest of NSW,1,Good,Good,0
2295,1RNSW,Rest of NSW,1,Good,Good,0
2296,1RNSW,Rest of NSW,1,Good,Good,0
2297,1RNSW,Rest of NSW,1,Good,Good,0
2298,1RNSW,Rest of NSW,1,Good,Good,0
2299,1RNSW,Rest of NSW,1,Good,Good,0
2300,1RNSW,Rest of NSW,1,Good,Good,0
2302,1RNSW,Rest of NSW,1,Good,Good,0
2303,1RNSW,Rest of NSW,1,Good,Good,0
2304,1RNSW,Rest of NSW,1,Good,Good,0
2305,1RNSW,Rest of NSW,1,Good,Good,0
2306,1RNSW,Rest of NSW,1,Good,Good,0
2307,1RNSW,Rest of NSW,1,Good,Good,0
2308,1RNSW,Rest of NSW,1,Good,Good,0
2311,1RNSW,Rest of NSW,1,Good,Good,0
2312,1RNSW,Rest of NSW,1,Good,Good,0
2315,1RNSW,Rest of NSW,1,Good,Good,0
2316,1RNSW,Rest of NSW,1,Good,Good,0
2317,1RNSW,Rest of NSW,1,Good,Good,0
2318,1RNSW,Rest of NSW,1,Good,Good,0
2319,1RNSW,Rest of NSW,1,Good,Good,0
2320,1RNSW,Rest of NSW,1,Good,Good,0
2321,1RNSW,Rest of NSW,1,Good,Good,0
2322,1RNSW,Rest of NSW,1,Good,Good,0
2323,1RNSW,Rest of NSW,1,Good,Good,0
2324,1RNSW,Rest of NSW,1,Good,Good,0
2325,1GSYD,Greater Sydney,1.00e-07,Good,Good,1
2325,1RNSW,Rest of NSW,0.9999999,Good,Good,0
2326,1RNSW,Rest of NSW,1,Good,Good,0
2327,1RNSW,Rest of NSW,1,Good,Good,0
2328,1RNSW,Rest of NSW,1,Good,Good,0
2329,1RNSW,Rest of NSW,1,Good,Good,0
2330,1GSYD,Greater Sydney,5.00e-07,Good,Good,1
2330,1RNSW,Rest of NSW,0.9999995,Good,Good,0
2331,1RNSW,Rest of NSW,1,Good,Good,0
2333,1RNSW,Rest of NSW,1,Good,Good,0
2334,1RNSW,Rest of NSW,1,Good,Good,0
2335,1RNSW,Rest of NSW,1,Good,Good,0
2336,1RNSW,Rest of NSW,1,Good,Good,0
2337,1RNSW,Rest of NSW,1,Good,Good,0
2338,1RNSW,Rest of NSW,1,Good,Good,0
2339,1RNSW,Rest of NSW,1,Good,Good,0
2340,1RNSW,Rest of NSW,1,Good,Good,0
2341,1RNSW,Rest of NSW,1,Good,Good,0
2342,1RNSW,Rest of NSW,1,Good,Good,0
2343,1RNSW,Rest of NSW,1,Good,Good,0
2344,1RNSW,Rest of NSW,1,Good,Good,0
2345,1RNSW,Rest of NSW,1,Good,Good,0
2346,1RNSW,Rest of NSW,1,Good,Good,0
2347,1RNSW,Rest of NSW,1,Good,Good,0
2350,1RNSW,Rest of NSW,1,Good,Good,0
2352,1RNSW,Rest of NSW,1,Good,Good,0
2353,1RNSW,Rest of NSW,1,Good,Good,0
2354,1RNSW,Rest of NSW,1,Good,Good,0
2355,1RNSW,Rest of NSW,1,Good,Good,0
2356,1RNSW,Rest of NSW,1,Good,Good,0
2357,1RNSW,Rest of NSW,1,Good,Good,0
2358,1RNSW,Rest of NSW,1,Good,Good,0
2359,1RNSW,Rest of NSW,1,Good,Good,0
2360,1RNSW,Rest of NSW,1,Good,Good,0
2361,1RNSW,Rest of NSW,1,Good,Good,0
2365,1RNSW,Rest of NSW,1,Good,Good,0
2369,1RNSW,Rest of NSW,1,Good,Good,0
2370,1RNSW,Rest of NSW,1,Good,Good,0
2371,1RNSW,Rest of NSW,1,Good,Good,0
2372,1RNSW,Rest of NSW,1,Good,Good,0
2379,1RNSW,Rest of NSW,1,Good,Good,0
2380,1RNSW,Rest of NSW,1,Good,Good,0
2381,1RNSW,Rest of NSW,1,Good,Good,0
2382,1RNSW,Rest of NSW,1,Good,Good,0
2386,1RNSW,Rest of NSW,1,Good,Good,0
2387,1RNSW,Rest of NSW,1,Good,Good,0
2388,1RNSW,Rest of NSW,1,Good,Good,0
2390,1RNSW,Rest of NSW,1,Good,Good,0
2395,1RNSW,Rest of NSW,1,Good,Good,0
2396,1RNSW,Rest of NSW,1,Good,Good,0
2397,1RNSW,Rest of NSW,1,Good,Good,0
2398,1RNSW,Rest of NSW,1,Good,Good,0
2399,1RNSW,Rest of NSW,1,Good,Good,0
2400,1RNSW,Rest of NSW,1,Good,Good,0
2401,1RNSW,Rest of NSW,1,Good,Good,0
2402,1RNSW,Rest of NSW,1,Good,Good,0
2403,1RNSW,Rest of NSW,1,Good,Good,0
2404,1RNSW,Rest of NSW,1,Good,Good,0
2405,1RNSW,Rest of NSW,1,Good,Good,0
2406,1RNSW,Rest of NSW,0.8228566,Good,Good,0
